#1Temp	Binder
2.0 0.658470678453 
2.01 0.657966018142 
2.02 0.657126180935 
2.03 0.655220002238 
2.04 0.655175616838 
2.05 0.654932692851 
2.06 0.652681119237 
2.07 0.65389515313 
2.08 0.65103624841 
2.09 0.652487417506 
2.1 0.649164278253 
2.11 0.64848529571 
2.12 0.646873933925 
2.13 0.646431330721 
2.14 0.644055928423 
2.15 0.642874684652 
2.16 0.639194279331 
2.17 0.638652687604 
2.18 0.638112707196 
2.19 0.633761559626 
2.2 0.634780679801 
2.21 0.631149104659 
2.22 0.62889815806 
2.23 0.622720242058 
2.24 0.62218551749 
2.25 0.617292597321 
2.26 0.613988909384 
2.27 0.614215472808 
2.28 0.606552692867 
2.29 0.602165523434 
2.3 0.605810192312 
2.31 0.593498440988 
2.32 0.586670056341 
2.33 0.589018909177 
2.34 0.584274938105 
2.35 0.57709751017 
2.36 0.578969059293 
2.37 0.577916267979 
2.38 0.572567611501 
2.39 0.561774192883 
2.4 0.554741091014 
2.41 0.55154851634 
2.42 0.541555535214 
2.43 0.543738408334 
2.44 0.532503641007 
2.45 0.527194800213 
2.46 0.515730828458 
2.47 0.504792248271 
2.48 0.502652939025 
2.49 0.500591943988 
