#Temperature	Magnetization	Magn._susceptibility	Energy	Specific_heat
2.0 0.9107486 0.3931941902 -1.7450804 0.7574462396 
2.01 0.9089388 0.35246136597 -1.740066 0.72150046781 
2.02 0.9039442 0.477993100792 -1.7305568 0.759986015489 
2.03 0.9012034 0.593612356847 -1.7247796 0.840785032008 
2.04 0.8974908 0.45558429098 -1.7154592 0.770311455594 
2.05 0.8936498 0.526480585171 -1.7070604 0.844591818775 
2.06 0.88648 0.838827184466 -1.6967388 0.890862321048 
2.07 0.8844968 0.571596085797 -1.689916 0.829106079488 
2.08 0.8802646 0.649095898269 -1.6802732 0.931743532175 
2.09 0.868085 1.9803472488 -1.6676512 1.04177967208 
2.1 0.869738 0.983439980952 -1.6631184 0.974318143855 
2.11 0.8626268 1.03686901308 -1.6525524 0.927925909661 
2.12 0.8573278 0.935420128113 -1.6419192 0.993498467782 
2.13 0.850703 1.18164615493 -1.6307236 1.09601340792 
2.14 0.8437416 1.10871602542 -1.6199532 0.944766987859 
2.15 0.8385048 1.45416510214 -1.6123064 1.18282288597 
2.16 0.8274002 2.18331537019 -1.5991656 1.21329444582 
2.17 0.8094836 3.14987194028 -1.5810616 1.27161699216 
2.18 0.8069052 2.41491510532 -1.570616 1.23267684538 
2.19 0.7985758 3.76891732584 -1.5622496 1.22926231697 
2.2 0.7901968 3.29691231709 -1.5499264 1.43571905587 
2.21 0.781426 2.64924689593 -1.5348688 1.17308864798 
2.22 0.7172686 10.3019523155 -1.503798 1.34545896437 
2.23 0.7511872 3.37561684377 -1.5060524 1.14134314834 
2.24 0.7008792 11.3634869971 -1.4829892 1.54076507366 
2.25 0.6522812 23.7716674069 -1.4527496 2.09797566388 
2.26 0.5448352 74.8432950485 -1.4263508 1.9397239787 
2.27 0.5296918 171.060137501 -1.41813 3.10551010111 
2.28 0.384496 244.671529053 -1.387446 2.09050747153 
2.29 0.4566894 58.5301270203 -1.3693708 1.93973377197 
2.3 0.2778144 76.0453065767 -1.3385708 1.68079385134 
2.31 0.2715514 65.9947941041 -1.3219088 1.33958569472 
2.32 0.135284 45.1844847586 -1.3050148 1.70436522919 
2.33 0.1615374 51.8517011212 -1.2931364 1.47401343742 
2.34 0.1656224 78.0972375138 -1.280684 1.38656494996 
2.35 0.1564386 36.9471502555 -1.2644928 1.19178377213 
2.36 0.174757 45.0279621653 -1.2537156 1.27076227492 
2.37 0.081794 14.0913784135 -1.2372916 1.00625827314 
2.38 0.152397 54.7971352563 -1.2309308 1.47520657326 
2.39 0.0740454 15.58703556 -1.20957 1.02084749917 
2.4 0.0863534 24.4611124518 -1.2093176 1.03256710111 
2.41 0.0977666 17.821076035 -1.1910488 1.03860005606 
2.42 0.103376 21.4845698512 -1.1836948 1.00227657428 
2.43 0.0788872 15.2617537291 -1.169778 0.887495327609 
2.44 0.0803534 16.6518663461 -1.1616412 0.919679223596 
2.45 0.0789286 13.3763525798 -1.150876 1.10549988172 
2.46 0.0885954 12.2701789384 -1.1401116 0.829163370745 
2.47 0.0782762 13.2856268565 -1.1340676 0.962836680228 
2.48 0.0682132 9.75020994258 -1.122902 0.805552542924 
