#Temperature	Magnetization	Magn._susceptibility	Energy	Specific_heat
2.0 0.9125272 0.4188213752 -1.7479536 0.7963058544 
2.01 0.9080648 0.396163533532 -1.7383552 0.737707230613 
2.02 0.9046352 0.405905397228 -1.7308272 0.795386665621 
2.03 0.9015568 0.489441642562 -1.7253552 0.815583533306 
2.04 0.8967088 0.463321571765 -1.7139152 0.825049121107 
2.05 0.8915728 0.561680268488 -1.7036624 0.880202133397 
2.06 0.8894744 0.695253088155 -1.6993744 0.982023744368 
2.07 0.8870192 0.500383322899 -1.6916768 0.799054086303 
2.08 0.880068 0.773141365385 -1.6824288 0.930233248521 
2.09 0.8740312 0.779708692057 -1.6701712 0.91946400641 
2.1 0.8674344 1.06609916267 -1.6613008 0.933612017778 
2.11 0.866328 0.753531677725 -1.6537072 0.991169127019 
2.12 0.8608632 0.874189252075 -1.6462576 0.949233291563 
2.13 0.84192 1.95605032864 -1.6246192 1.09653760903 
2.14 0.8472952 1.38598492636 -1.6263184 1.15147649437 
2.15 0.8186296 2.83478819051 -1.5971504 1.12512766892 
2.16 0.828688 1.52504622222 -1.5992352 1.1875439177 
2.17 0.8260664 1.48010109567 -1.5916832 1.17922714315 
2.18 0.807492 2.76815689908 -1.5748432 1.30749973369 
2.19 0.7930568 2.64759814356 -1.552568 1.31489631993 
2.2 0.8004392 1.90988916291 -1.55416 1.14727603306 
2.21 0.782536 3.26004351131 -1.5353248 1.31130735702 
2.22 0.7443472 7.90766965333 -1.5081408 1.87069784076 
2.23 0.7557736 3.90277231283 -1.50784 1.33333740876 
2.24 0.7181088 6.76682250286 -1.4791504 1.59151408036 
2.25 0.6804288 14.1718703673 -1.462648 1.88905367704 
2.26 0.6690232 13.391710555 -1.4481696 1.76713072472 
2.27 0.666664 11.317062978 -1.4375792 1.90625560721 
2.28 0.615248 17.3059076491 -1.4102112 1.83557780979 
2.29 0.5946112 27.3876753216 -1.400832 2.25570020404 
2.3 0.5143664 29.1789859033 -1.3691072 1.79167713996 
2.31 0.532736 20.3537825801 -1.355344 1.56432678548 
2.32 0.4364304 43.7010955559 -1.3272528 2.0256063151 
2.33 0.352824 25.0977779227 -1.2925344 1.64420955287 
2.34 0.42462 38.4318580342 -1.306352 1.62712028636 
2.35 0.4049656 35.6821720177 -1.287528 1.80727189498 
2.36 0.2839592 33.97621044 -1.2546224 1.37036446883 
2.37 0.1880528 14.529096131 -1.2287312 1.02159941719 
2.38 0.2847176 23.0825763973 -1.2360608 1.53384710797 
2.39 0.1970064 18.1252240576 -1.2105632 1.13692978316 
2.4 0.1810072 19.9944852793 -1.2143168 1.02004144 
2.41 0.2218728 20.4431261205 -1.2014256 1.09835367187 
2.42 0.1773928 14.3119100291 -1.17576 1.16482043576 
2.43 0.16832 12.5704902058 -1.1739408 1.1131534892 
2.44 0.128068 8.13848640984 -1.1578496 0.901084293469 
2.45 0.1674104 13.5178447876 -1.151576 1.00919739442 
2.46 0.1499488 9.40448774244 -1.1423648 0.928075633287 
2.47 0.1329528 8.59808033619 -1.1269648 0.910546198495 
2.48 0.1234728 7.1048365929 -1.1227296 0.781250326743 
2.49 0.119556 7.21653653012 -1.1145824 0.785664751472 
2.5 0.1287672 7.96703956416 -1.1092896 0.904976756736 
2.51 0.0979032 5.19918875474 -1.0889792 0.910692801448 
2.52 0.11038 4.67593928571 -1.0854448 0.821053757622 
2.53 0.1377 8.19873731225 -1.0801008 0.906127606805 
2.54 0.1066232 5.01820797417 -1.0706528 0.654367200446 
2.55 0.1012616 6.56302937788 -1.0646336 0.767975575179 
2.56 0.1171528 6.66977532438 -1.0584704 0.700416078125 
2.57 0.1033888 6.60097762117 -1.0490096 0.636504741873 
2.58 0.1000344 5.03266676031 -1.0402176 0.808779764678 
2.59 0.1062448 5.65036501251 -1.0382448 0.778601240649 
2.6 0.1217048 7.42588297785 -1.0350176 0.739774678343 
2.61 0.0927392 3.4569049649 -1.01876 0.657472321311 
2.62 0.0888456 3.84434793954 -1.0134688 0.634504074122 
2.63 0.0757208 3.37365730738 -1.0069152 0.724035163498 
2.64 0.0797904 3.22383476121 -0.99868 0.671906680441 
2.65 0.0869216 3.83540823909 -0.9921312 0.579155367234 
2.66 0.0831696 3.72879552241 -0.9868288 0.64789840104 
2.67 0.0812632 3.58702727131 -0.981296 0.596494741124 
2.68 0.0880392 3.72428453672 -0.9752864 0.6368857955 
2.69 0.0774712 2.64535737041 -0.9731984 0.573748178383 
2.7 0.08408 3.24110340741 -0.9674336 0.576234125871 
2.71 0.0770168 3.06526556989 -0.9534336 0.592995135905 
2.72 0.0757408 2.87290060235 -0.9528928 0.580472868512 
2.73 0.0830856 2.84980427897 -0.9485456 0.553038280616 
2.74 0.0683296 2.48762993051 -0.9430976 0.564674008418 
2.75 0.0755 2.99672807273 -0.9358384 0.49592472246 
2.76 0.0652888 2.37538648058 -0.9327568 0.514266978366 
2.77 0.0688432 2.22739586079 -0.92672 0.536811270836 
2.78 0.0639336 2.04280294158 -0.91912 0.543888618602 
2.79 0.0699112 2.63090447541 -0.9091872 0.532628253799 
