#1-T/Tc	Magnetization
0.11414720141031309 0.9042912 
0.1097399735566329 0.9026536 
0.10533274570295303 0.9043728 
0.10092551784927284 0.8965408 
0.09651828999559287 0.8947992 
0.09211106214191278 0.8886336 
0.08770383428823281 0.8837328 
0.08329660643455272 0.88068 
0.07888937858087275 0.8723272 
0.07448215072719266 0.8708792 
0.07007492287351269 0.8581192 
0.0656676950198325 0.857504 
0.06126046716615263 0.8445016 
0.05685323931247244 0.8405232 
0.05244601145879246 0.8388224 
0.04803878360511238 0.7992976 
0.043631555751432405 0.8156712 
0.03922432789775232 0.8165688 
0.03481710004407235 0.7955432 
0.030409872190392262 0.7954128 
0.02600264433671229 0.7710448 
0.021595416483032093 0.7853008 
0.01718818862935223 0.7626632 
0.012780960775672034 0.7203656 
0.008373732921992172 0.7558136 
0.003966505068312198 0.6505832 
-0.00044072278536799736 0.681528 
-0.004847950639048193 0.5762328 
-0.009255178492727945 0.565804 
-0.013662406346407918 0.566616 
-0.018069634200088114 0.4136848 
-0.022476862053768087 0.3771832 
-0.026884089907448283 0.2924552 
-0.031291317761128035 0.3481144 
-0.03569854561480823 0.2388144 
-0.040105773468488204 0.289752 
-0.0445130013221684 0.1993712 
-0.04892022917584837 0.1466464 
-0.05332745702952835 0.1981312 
-0.05773468488320832 0.1959248 
-0.062141912736888516 0.1925952 
-0.06654914059056849 0.2027792 
-0.07095636844424869 0.2490872 
-0.07536359629792844 0.1756256 
-0.07977082415160863 0.1516304 
-0.0841780520052886 0.1576568 
-0.08858527985896858 0.1772248 
-0.09299250771264878 0.1495776 
-0.09739973556632875 0.140828 
-0.10180696342000872 0.1129024 
