#Temperature	Magnetization	Magn._susceptibility	Energy	Specific_heat
2.0 0.91712 0.28975112 -1.75569 0.67819239 
2.01 0.90871 0.389410129353 -1.73873 0.76852425435 
2.02 0.90361 0.420696613861 -1.72873 0.791519174591 
2.03 0.900045 0.442467581281 -1.72291 0.750208148705 
2.04 0.902675 0.347533210784 -1.71923 0.731536630142 
2.05 0.89264 0.433976663415 -1.70276 0.773728247472 
2.06 0.884205 1.06325106311 -1.69827 0.939401178245 
2.07 0.88827 0.522542434783 -1.69447 0.863564526593 
2.08 0.884425 0.572652764423 -1.68683 0.870622328033 
2.09 0.872415 0.775405315789 -1.66752 0.893995064216 
2.1 0.875465 0.643125480952 -1.66834 0.856384979592 
2.11 0.856015 1.20810327488 -1.64382 1.15614722041 
2.12 0.86447 0.754871528302 -1.6494 0.976311854753 
2.13 0.80946 6.27905322066 -1.61656 1.37397486389 
2.14 0.832195 1.71526298598 -1.60854 1.24107506332 
2.15 0.840015 1.52784646977 -1.62303 1.12295243699 
2.16 0.831155 1.213544625 -1.59494 1.12064441015 
2.17 0.833275 1.32187085253 -1.60019 1.04551499501 
2.18 0.805655 2.53508183028 -1.57581 1.23164244592 
2.19 0.83025 0.974737442922 -1.58235 1.0631786243 
2.2 0.81983 1.15256747273 -1.57272 1.08061170248 
2.21 0.77883 3.47672961086 -1.52219 1.61311225405 
2.22 0.750215 3.75370788739 -1.50472 1.52246746206 
2.23 0.77695 3.47421479821 -1.53283 1.29198585131 
2.24 0.74561 2.90994248214 -1.48356 1.38272691327 
2.25 0.719015 6.33188529333 -1.47722 1.70735183012 
2.26 0.771 2.01290265487 -1.49449 1.2521998512 
2.27 0.684415 6.16014674449 -1.44056 1.62303063518 
2.28 0.66099 6.40910875439 -1.40575 1.82108629578 
2.29 0.633985 7.70974581223 -1.39834 1.63361067867 
2.3 0.601635 9.56091335217 -1.37575 1.89651701323 
2.31 0.59433 8.35781837229 -1.36377 1.62252484774 
2.32 0.640025 6.56581454741 -1.37669 1.6797966632 
2.33 0.593825 7.0265998927 -1.35152 1.58338444989 
2.34 0.54522 9.45088061538 -1.32501 1.6449704069 
2.35 0.541725 11.2951743617 -1.3206 2.01994314169 
2.36 0.57083 7.89174764407 -1.3144 1.57044240161 
2.37 0.48811 8.83415660759 -1.2716 1.47871174491 
2.38 0.51744 8.93224309244 -1.28637 1.51631403856 
2.39 0.463435 8.99904197071 -1.2443 1.57555434954 
2.4 0.527385 8.82822279583 -1.28138 1.35643719444 
