#1Temp	Binder
2.0 0.663424681081 
2.01 0.663871494901 
2.02 0.663692992445 
2.03 0.662958697277 
2.04 0.663086853945 
2.05 0.662411061402 
2.06 0.662096601594 
2.07 0.661819234618 
2.08 0.6603476997 
2.09 0.660855119235 
2.1 0.659055324441 
2.11 0.659250626839 
2.12 0.658938703241 
2.13 0.654838137032 
2.14 0.656604723468 
2.15 0.654536307308 
2.16 0.653220949962 
2.17 0.649505288932 
2.18 0.650191871766 
2.19 0.647410264204 
2.2 0.644764245827 
2.21 0.642187151118 
2.22 0.633468366501 
2.23 0.635484049304 
2.24 0.632876148513 
2.25 0.623707497574 
2.26 0.622742701755 
2.27 0.618169946482 
2.28 0.603870222642 
2.29 0.594061141164 
2.3 0.598016589448 
2.31 0.578170079211 
2.32 0.583093172328 
2.33 0.563990350543 
2.34 0.543692059421 
2.35 0.540544146181 
2.36 0.525165904382 
2.37 0.496448689745 
2.38 0.51268538901 
2.39 0.474589547138 
2.4 0.478932367754 
2.41 0.440327170972 
2.42 0.408899753441 
2.43 0.400556572854 
2.44 0.380801656931 
2.45 0.389225339708 
2.46 0.364713041271 
2.47 0.37069838132 
2.48 0.336139512251 
2.49 0.359171377106 
