#1-T/Tc	Magnetization
0.11414720141031309 0.90977 
0.1097399735566329 0.90045 
0.10533274570295303 0.90315 
0.10092551784927284 0.898225 
0.09651828999559287 0.897205 
0.09211106214191278 0.890175 
0.08770383428823281 0.88206 
0.08329660643455272 0.877865 
0.07888937858087275 0.876955 
0.07448215072719266 0.86551 
0.07007492287351269 0.860635 
0.0656676950198325 0.85773 
0.06126046716615263 0.859375 
0.05685323931247244 0.84314 
0.05244601145879246 0.847885 
0.04803878360511238 0.81729 
0.043631555751432405 0.81624 
0.03922432789775232 0.802575 
0.03481710004407235 0.820485 
0.030409872190392262 0.765375 
0.02600264433671229 0.732365 
0.021595416483032093 0.768445 
0.01718818862935223 0.791285 
0.012780960775672034 0.684905 
0.008373732921992172 0.741595 
0.003966505068312198 0.701755 
-0.00044072278536799736 0.688055 
-0.004847950639048193 0.710705 
-0.009255178492727945 0.60996 
-0.013662406346407918 0.643225 
-0.018069634200088114 0.60284 
-0.022476862053768087 0.553345 
-0.026884089907448283 0.5765 
-0.031291317761128035 0.56932 
-0.03569854561480823 0.55309 
-0.040105773468488204 0.513145 
-0.0445130013221684 0.52807 
-0.04892022917584837 0.4801 
-0.05332745702952835 0.42968 
-0.05773468488320832 0.52812 
-0.062141912736888516 0.368795 
-0.06654914059056849 0.431085 
-0.07095636844424869 0.36433 
-0.07536359629792844 0.33671 
-0.07977082415160863 0.3711 
-0.0841780520052886 0.382675 
-0.08858527985896858 0.31671 
-0.09299250771264878 0.29704 
-0.09739973556632875 0.34337 
-0.10180696342000872 0.282885 
