#1-T/Tc	Magnetization
0.11414720141031309 0.91804 
0.1097399735566329 0.90766 
0.10533274570295303 0.9067 
0.10092551784927284 0.89344 
0.09651828999559287 0.8908 
0.09211106214191278 0.88728 
0.08770383428823281 0.88368 
0.08329660643455272 0.87848 
0.07888937858087275 0.87274 
0.07448215072719266 0.85922 
0.07007492287351269 0.8802 
0.0656676950198325 0.849 
0.06126046716615263 0.84726 
0.05685323931247244 0.86202 
0.05244601145879246 0.85156 
0.04803878360511238 0.85206 
0.043631555751432405 0.81356 
0.03922432789775232 0.81698 
0.03481710004407235 0.83666 
0.030409872190392262 0.8177 
0.02600264433671229 0.79114 
0.021595416483032093 0.80026 
0.01718818862935223 0.79594 
0.012780960775672034 0.79722 
0.008373732921992172 0.8005 
0.003966505068312198 0.74162 
-0.00044072278536799736 0.80638 
-0.004847950639048193 0.7453 
-0.009255178492727945 0.72534 
-0.013662406346407918 0.72742 
-0.018069634200088114 0.71126 
-0.022476862053768087 0.71492 
-0.026884089907448283 0.73556 
-0.031291317761128035 0.72102 
-0.03569854561480823 0.7002 
-0.040105773468488204 0.65274 
-0.0445130013221684 0.64568 
-0.04892022917584837 0.65156 
-0.05332745702952835 0.63994 
-0.05773468488320832 0.63988 
-0.062141912736888516 0.59432 
-0.06654914059056849 0.59186 
-0.07095636844424869 0.60796 
-0.07536359629792844 0.58442 
-0.07977082415160863 0.55004 
-0.0841780520052886 0.50814 
-0.08858527985896858 0.5553 
-0.09299250771264878 0.57134 
-0.09739973556632875 0.56356 
-0.10180696342000872 0.51408 
